"metric","value"
"n_samples",141
"n_features",368
"overall_zero_fraction",0.584913660191181
"overall_positive_fraction",0.415086339808819
"feature_zero_min",0
"feature_zero_q25",0.297872340425532
"feature_zero_median",0.684397163120567
"feature_zero_mean",0.584913660191181
"feature_zero_q75",0.886524822695035
"feature_zero_max",0.943262411347518
"feature_zero_iqr",0.588652482269504
"features_zero_gt_50_pct",0.619565217391304
"features_zero_gt_80_pct",0.407608695652174
"sample_zero_min",0.402173913043478
"sample_zero_q25",0.540760869565217
"sample_zero_median",0.578804347826087
"sample_zero_mean",0.584913660191181
"sample_zero_q75",0.616847826086957
"sample_zero_max",0.777173913043478
"sample_positive_count_median",155
