n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;0.08;250
10;50;0.2;0.4;0.032;250
10;50;0.5;0;0.04;250
10;50;0.5;0.4;0.048;250
10;50;0.8;0;0.792;250
10;50;0.8;0.4;0.816;250
10;100;0.2;0;0.056;250
10;100;0.2;0.4;0.048;250
10;100;0.5;0;0.048;250
10;100;0.5;0.4;0.052;250
10;100;0.8;0;0.584;250
10;100;0.8;0.4;0.596;250
10;150;0.2;0;0.04;250
10;150;0.2;0.4;0.048;250
10;150;0.5;0;0.044;250
10;150;0.5;0.4;0.06;250
10;150;0.8;0;0.488;250
10;150;0.8;0.4;0.496;250
20;50;0.2;0;0.068;250
20;50;0.2;0.4;0.056;250
20;50;0.5;0;0.4;250
20;50;0.5;0.4;0.376;250
20;50;0.8;0;1;250
20;50;0.8;0.4;1;250
20;100;0.2;0;0.044;250
20;100;0.2;0.4;0.044;250
20;100;0.5;0;0.148;250
20;100;0.5;0.4;0.148;250
20;100;0.8;0;1;250
20;100;0.8;0.4;1;250
20;150;0.2;0;0.06;250
20;150;0.2;0.4;0.052;250
20;150;0.5;0;0.092;250
20;150;0.5;0.4;0.096;250
20;150;0.8;0;1;250
20;150;0.8;0.4;1;250
