n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;1;250
10;50;0.2;0.4;1;250
10;50;0.5;0;0.712;250
10;50;0.5;0.4;0.74;250
10;50;0.8;0;0.78;250
10;50;0.8;0.4;0.8;250
10;100;0.2;0;1;250
10;100;0.2;0.4;1;250
10;100;0.5;0;0.756;250
10;100;0.5;0.4;0.808;250
10;100;0.8;0;0.592;250
10;100;0.8;0.4;0.592;250
10;150;0.2;0;1;250
10;150;0.2;0.4;0.996;250
10;150;0.5;0;0.876;250
10;150;0.5;0.4;0.88;250
10;150;0.8;0;0.524;250
10;150;0.8;0.4;0.536;250
20;50;0.2;0;0.964;250
20;50;0.2;0.4;0.964;250
20;50;0.5;0;0.392;250
20;50;0.5;0.4;0.4;250
20;50;0.8;0;1;250
20;50;0.8;0.4;1;250
20;100;0.2;0;0.996;250
20;100;0.2;0.4;0.996;250
20;100;0.5;0;0.192;250
20;100;0.5;0.4;0.2;250
20;100;0.8;0;1;250
20;100;0.8;0.4;1;250
20;150;0.2;0;0.996;250
20;150;0.2;0.4;0.996;250
20;150;0.5;0;0.168;250
20;150;0.5;0.4;0.164;250
20;150;0.8;0;1;250
20;150;0.8;0.4;1;250
