n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;0.112;250
10;50;0.2;0.4;0.064;250
10;50;0.5;0;0.072;250
10;50;0.5;0.4;0.088;250
10;50;0.8;0;0.992;250
10;50;0.8;0.4;0.988;250
10;100;0.2;0;0.14;250
10;100;0.2;0.4;0.088;250
10;100;0.5;0;0.14;250
10;100;0.5;0.4;0.096;250
10;100;0.8;0;0.988;250
10;100;0.8;0.4;0.988;250
10;150;0.2;0;0.14;250
10;150;0.2;0.4;0.064;250
10;150;0.5;0;0.124;250
10;150;0.5;0.4;0.14;250
10;150;0.8;0;0.972;250
10;150;0.8;0.4;0.972;250
20;50;0.2;0;0.168;250
20;50;0.2;0.4;0.14;250
20;50;0.5;0;0.876;250
20;50;0.5;0.4;0.852;250
20;50;0.8;0;1;250
20;50;0.8;0.4;1;250
20;100;0.2;0;0.236;250
20;100;0.2;0.4;0.168;250
20;100;0.5;0;0.772;250
20;100;0.5;0.4;0.788;250
20;100;0.8;0;1;250
20;100;0.8;0.4;1;250
20;150;0.2;0;0.264;250
20;150;0.2;0.4;0.184;250
20;150;0.5;0;0.62;250
20;150;0.5;0.4;0.62;250
20;150;0.8;0;1;250
20;150;0.8;0.4;1;250
