n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.06;250;49.92;49.92;4.36;4.39
10;50;0.2;0.4;0.04;250;49.92;49.92;4.38;4.42
10;50;0.5;0;0.048;250;39.32;39.32;4.37;4.61
10;50;0.5;0.4;0.032;250;39.32;39.32;4.5;4.89
10;50;0.8;0;0.057;246;9.28;9.28;3.42;3.5
10;50;0.8;0.4;0.045;246;9.28;9.28;3.43;3.54
10;100;0.2;0;0.048;250;99.83;99.83;4.77;4.82
10;100;0.2;0.4;0.04;250;99.83;99.83;4.82;4.91
10;100;0.5;0;0.052;250;74.79;74.79;4.98;5.57
10;100;0.5;0.4;0.056;250;74.79;74.79;5.25;6.16
10;100;0.8;0;0.036;250;16.92;16.92;3.76;3.96
10;100;0.8;0.4;0.048;250;16.92;16.92;3.78;3.98
10;150;0.2;0;0.06;250;149.74;149.74;5.02;5.09
10;150;0.2;0.4;0.044;250;149.74;149.74;5.12;5.31
10;150;0.5;0;0.06;250;110.38;110.38;5.66;6.87
10;150;0.5;0.4;0.052;250;110.38;110.38;6.09;7.65
10;150;0.8;0;0.044;250;24.51;24.51;3.99;4.37
10;150;0.8;0.4;0.036;250;24.51;24.51;4.04;4.5
20;50;0.2;0;0.072;250;50;50;5;5.01
20;50;0.2;0.4;0.056;250;50;50;5.02;5.03
20;50;0.5;0;0.056;250;48.3;48.3;5.16;5.23
20;50;0.5;0.4;0.06;250;48.3;48.3;5.24;5.37
20;50;0.8;0;0.032;250;17.68;17.68;4.54;4.7
20;50;0.8;0.4;0.056;250;17.68;17.68;4.57;4.8
20;100;0.2;0;0.032;250;100;100;5.4;5.41
20;100;0.2;0.4;0.024;250;100;100;5.42;5.43
20;100;0.5;0;0.048;250;95.23;95.23;5.71;5.85
20;100;0.5;0.4;0.064;250;95.23;95.23;5.91;6.26
20;100;0.8;0;0.084;250;33.64;33.64;5.01;5.54
20;100;0.8;0.4;0.072;250;33.64;33.64;5.17;5.72
20;150;0.2;0;0.048;250;150;150;5.64;5.65
20;150;0.2;0.4;0.044;250;150;150;5.66;5.67
20;150;0.5;0;0.056;250;141.8;141.8;6.09;6.36
20;150;0.5;0.4;0.056;250;141.8;141.8;6.65;7.24
20;150;0.8;0;0.068;250;47.66;47.66;5.47;6.37
20;150;0.8;0.4;0.06;250;47.66;47.66;5.6;6.56
