n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.316;250;49.92;49.92;4.36;4.48
10;50;0.2;0.4;0.244;250;49.92;49.92;4.38;4.54
10;50;0.5;0;0.164;250;39.32;39.32;4.37;5
10;50;0.5;0.4;0.152;250;39.32;39.32;4.5;5.6
10;50;0.8;0;0.069;245;9.3;9.3;3.42;3.63
10;50;0.8;0.4;0.069;245;9.3;9.3;3.43;3.71
10;100;0.2;0;0.3;250;99.83;99.83;4.77;4.96
10;100;0.2;0.4;0.256;250;99.83;99.83;4.82;5.21
10;100;0.5;0;0.384;250;74.79;74.79;4.98;6.8
10;100;0.5;0.4;0.284;250;74.79;74.79;5.25;8.01
10;100;0.8;0;0.072;250;16.92;16.92;3.76;4.22
10;100;0.8;0.4;0.1;250;16.92;16.92;3.78;4.33
10;150;0.2;0;0.34;250;149.74;149.74;5.02;5.3
10;150;0.2;0.4;0.344;250;149.74;149.74;5.12;5.97
10;150;0.5;0;0.576;250;110.38;110.38;5.66;8.67
10;150;0.5;0.4;0.388;250;110.38;110.38;6.09;10.14
10;150;0.8;0;0.06;250;24.51;24.51;3.99;4.81
10;150;0.8;0.4;0.08;250;24.51;24.51;4.04;4.85
20;50;0.2;0;0.576;250;50;50;5;5.05
20;50;0.2;0.4;0.26;250;50;50;5.02;5.08
20;50;0.5;0;0.504;250;48.3;48.3;5.16;5.51
20;50;0.5;0.4;0.408;250;48.3;48.3;5.24;5.86
20;50;0.8;0;0.116;250;17.68;17.68;4.54;4.97
20;50;0.8;0.4;0.116;250;17.68;17.68;4.57;5.13
20;100;0.2;0;0.512;250;100;100;5.4;5.47
20;100;0.2;0.4;0.26;250;100;100;5.42;5.51
20;100;0.5;0;0.74;250;95.23;95.23;5.71;6.37
20;100;0.5;0.4;0.556;250;95.23;95.23;5.91;7.35
20;100;0.8;0;0.232;250;33.64;33.64;5.01;6.32
20;100;0.8;0.4;0.204;250;33.64;33.64;5.17;6.72
20;150;0.2;0;0.492;250;150;150;5.64;5.72
20;150;0.2;0.4;0.296;250;150;150;5.66;5.77
20;150;0.5;0;0.888;250;141.8;141.8;6.09;7.38
20;150;0.5;0.4;0.692;250;141.8;141.8;6.65;9.46
20;150;0.8;0;0.292;250;47.66;47.66;5.47;7.66
20;150;0.8;0.4;0.248;250;47.66;47.66;5.6;7.73
