c1,c2,pmiss,rho,model,nk5_p50,nk5_p100,nk5_p150,nk10_p50,nk10_p100,nk10_p150
1,0,0.2,0.0,scMAN-exc,0.988,0.992,0.984,1.0,1.0,1.0
1,0,0.2,0.0,scMAN-ind,0.316,0.3,0.34,0.576,0.512,0.492
1,0,0.2,0.0,Chen,0.828,0.936,0.964,0.6,0.784,0.824
1,0,0.2,0.4,scMAN-exc,0.516,0.464,0.524,0.7,0.832,0.872
1,0,0.2,0.4,scMAN-ind,0.244,0.256,0.344,0.26,0.26,0.296
1,0,0.2,0.4,Chen,0.404,0.432,0.484,0.412,0.548,0.628
1,0,0.5,0.0,scMAN-exc,0.788,0.836,0.72,0.992,0.976,0.928
1,0,0.5,0.0,scMAN-ind,0.164,0.384,0.576,0.504,0.74,0.888
1,0,0.5,0.0,Chen,0.2,0.232,0.3,0.432,0.16,0.124
1,0,0.5,0.4,scMAN-exc,0.468,0.492,0.452,0.752,0.744,0.768
1,0,0.5,0.4,scMAN-ind,0.152,0.284,0.388,0.408,0.556,0.692
1,0,0.5,0.4,Chen,0.156,0.208,0.236,0.38,0.172,0.144
1,0,0.8,0.0,scMAN-exc,0.204,0.412,0.516,0.356,0.668,0.74
1,0,0.8,0.0,scMAN-ind,0.069,0.072,0.06,0.116,0.232,0.292
1,0,0.8,0.0,Chen,0.768,0.584,0.508,1.0,1.0,1.0
1,0,0.8,0.4,scMAN-exc,0.208,0.284,0.372,0.296,0.528,0.58
1,0,0.8,0.4,scMAN-ind,0.069,0.1,0.08,0.116,0.204,0.248
1,0,0.8,0.4,Chen,0.788,0.596,0.476,1.0,1.0,1.0
5,0,0.2,0.0,scMAN-exc,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.2,0.0,scMAN-ind,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.2,0.0,Chen,1.0,1.0,1.0,0.964,0.996,0.996
5,0,0.2,0.4,scMAN-exc,1.0,0.996,1.0,1.0,1.0,1.0
5,0,0.2,0.4,scMAN-ind,1.0,1.0,0.996,1.0,1.0,1.0
5,0,0.2,0.4,Chen,1.0,1.0,0.996,0.964,0.996,0.996
5,0,0.5,0.0,scMAN-exc,0.992,1.0,1.0,1.0,1.0,1.0
5,0,0.5,0.0,scMAN-ind,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.5,0.0,Chen,0.712,0.756,0.876,0.392,0.192,0.168
5,0,0.5,0.4,scMAN-exc,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.5,0.4,scMAN-ind,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.5,0.4,Chen,0.74,0.808,0.88,0.4,0.2,0.164
5,0,0.8,0.0,scMAN-exc,0.98,0.992,1.0,1.0,1.0,1.0
5,0,0.8,0.0,scMAN-ind,0.724,0.884,0.96,1.0,1.0,1.0
5,0,0.8,0.0,Chen,0.78,0.592,0.524,1.0,1.0,1.0
5,0,0.8,0.4,scMAN-exc,0.971,0.988,1.0,1.0,1.0,1.0
5,0,0.8,0.4,scMAN-ind,0.739,0.86,0.92,0.996,0.996,1.0
5,0,0.8,0.4,Chen,0.8,0.592,0.536,1.0,1.0,1.0
