c1,c2,pmiss,rho,model,nk5_p50,nk5_p100,nk5_p150,nk10_p50,nk10_p100,nk10_p150
0,0.15,0.2,0.0,scMAN-exc,0.072,0.08,0.044,0.16,0.112,0.06
0,0.15,0.2,0.0,scMAN-ind,0.296,0.356,0.336,0.532,0.688,0.724
0,0.15,0.2,0.0,Chen,0.112,0.14,0.14,0.168,0.236,0.264
0,0.15,0.2,0.4,scMAN-exc,0.028,0.056,0.04,0.12,0.056,0.06
0,0.15,0.2,0.4,scMAN-ind,0.248,0.304,0.252,0.536,0.656,0.728
0,0.15,0.2,0.4,Chen,0.064,0.088,0.064,0.14,0.168,0.184
0,0.15,0.5,0.0,scMAN-exc,0.064,0.052,0.048,0.084,0.056,0.024
0,0.15,0.5,0.0,scMAN-ind,0.22,0.316,0.232,0.42,0.532,0.552
0,0.15,0.5,0.0,Chen,0.072,0.14,0.124,0.876,0.772,0.62
0,0.15,0.5,0.4,scMAN-exc,0.064,0.052,0.044,0.068,0.052,0.036
0,0.15,0.5,0.4,scMAN-ind,0.236,0.28,0.236,0.38,0.42,0.36
0,0.15,0.5,0.4,Chen,0.088,0.096,0.14,0.852,0.788,0.62
0,0.15,0.8,0.0,scMAN-exc,0.12,0.149,0.102,0.549,0.419,0.382
0,0.15,0.8,0.0,scMAN-ind,0.444,0.611,0.644,0.885,0.968,0.984
0,0.15,0.8,0.0,Chen,0.992,0.988,0.972,1.0,1.0,1.0
0,0.15,0.8,0.4,scMAN-exc,0.14,0.123,0.076,0.544,0.402,0.378
0,0.15,0.8,0.4,scMAN-ind,0.439,0.561,0.66,0.867,0.98,0.96
0,0.15,0.8,0.4,Chen,0.988,0.988,0.972,1.0,1.0,1.0
0,0.3,0.2,0.0,scMAN-exc,0.092,0.064,0.008,0.34,0.232,0.132
0,0.3,0.2,0.0,scMAN-ind,0.792,0.864,0.828,0.992,0.996,1.0
0,0.3,0.2,0.0,Chen,0.328,0.528,0.568,0.504,0.608,0.792
0,0.3,0.2,0.4,scMAN-exc,0.044,0.076,0.036,0.252,0.108,0.044
0,0.3,0.2,0.4,scMAN-ind,0.764,0.784,0.704,0.984,0.996,1.0
0,0.3,0.2,0.4,Chen,0.268,0.28,0.3,0.476,0.584,0.676
0,0.3,0.5,0.0,scMAN-exc,0.124,0.044,0.008,0.228,0.068,0.016
0,0.3,0.5,0.0,scMAN-ind,0.796,0.896,0.86,0.988,0.98,0.98
0,0.3,0.5,0.0,Chen,0.296,0.348,0.34,1.0,0.992,0.992
0,0.3,0.5,0.4,scMAN-exc,0.104,0.092,0.072,0.184,0.064,0.048
0,0.3,0.5,0.4,scMAN-ind,0.776,0.864,0.796,0.964,0.928,0.908
0,0.3,0.5,0.4,Chen,0.296,0.316,0.376,1.0,0.996,0.992
