c1,c2,pmiss,rho,model,nk5_p50,nk5_p100,nk5_p150,nk10_p50,nk10_p100,nk10_p150
0,0,0.2,0.0,scMAN-exc,0.048,0.056,0.056,0.032,0.068,0.016
0,0,0.2,0.0,scMAN-ind,0.06,0.048,0.06,0.072,0.032,0.048
0,0,0.2,0.0,Chen,0.08,0.056,0.04,0.068,0.044,0.06
0,0,0.2,0.4,scMAN-exc,0.04,0.052,0.052,0.032,0.048,0.036
0,0,0.2,0.4,scMAN-ind,0.04,0.04,0.044,0.056,0.024,0.044
0,0,0.2,0.4,Chen,0.032,0.048,0.048,0.056,0.044,0.052
0,0,0.5,0.0,scMAN-exc,0.084,0.076,0.076,0.036,0.032,0.044
0,0,0.5,0.0,scMAN-ind,0.048,0.052,0.06,0.056,0.048,0.056
0,0,0.5,0.0,Chen,0.04,0.048,0.044,0.4,0.148,0.092
0,0,0.5,0.4,scMAN-exc,0.072,0.088,0.06,0.056,0.056,0.028
0,0,0.5,0.4,scMAN-ind,0.032,0.056,0.052,0.06,0.064,0.056
0,0,0.5,0.4,Chen,0.048,0.052,0.06,0.376,0.148,0.096
0,0,0.8,0.0,scMAN-exc,0.069,0.084,0.1,0.072,0.112,0.12
0,0,0.8,0.0,scMAN-ind,0.057,0.036,0.044,0.032,0.084,0.068
0,0,0.8,0.0,Chen,0.792,0.584,0.488,1.0,1.0,1.0
0,0,0.8,0.4,scMAN-exc,0.077,0.068,0.112,0.08,0.104,0.08
0,0,0.8,0.4,scMAN-ind,0.045,0.048,0.036,0.056,0.072,0.06
0,0,0.8,0.4,Chen,0.816,0.596,0.496,1.0,1.0,1.0
