c1,c2,pmiss,rho,model,n_per_group,p,rejection_proportion,historical_n_completed,historical_source
0,0.0,0.2,0.0,scMAN_MV,5,50,0.048,250,summary_csv
0,0.0,0.2,0.4,scMAN_MV,5,50,0.04,250,summary_csv
0,0.0,0.5,0.0,scMAN_MV,5,50,0.084,250,summary_csv
0,0.0,0.5,0.4,scMAN_MV,5,50,0.072,250,summary_csv
0,0.0,0.8,0.0,scMAN_MV,5,50,0.069,246,summary_csv
0,0.0,0.8,0.4,scMAN_MV,5,50,0.077,246,summary_csv
0,0.0,0.2,0.0,scMAN_MV,5,100,0.056,250,summary_csv
0,0.0,0.2,0.4,scMAN_MV,5,100,0.052,250,summary_csv
0,0.0,0.5,0.0,scMAN_MV,5,100,0.076,250,summary_csv
0,0.0,0.5,0.4,scMAN_MV,5,100,0.088,250,summary_csv
0,0.0,0.8,0.0,scMAN_MV,5,100,0.084,250,summary_csv
0,0.0,0.8,0.4,scMAN_MV,5,100,0.068,250,summary_csv
0,0.0,0.2,0.0,scMAN_MV,5,150,0.056,250,summary_csv
0,0.0,0.2,0.4,scMAN_MV,5,150,0.052,250,summary_csv
0,0.0,0.5,0.0,scMAN_MV,5,150,0.076,250,summary_csv
0,0.0,0.5,0.4,scMAN_MV,5,150,0.06,250,summary_csv
0,0.0,0.8,0.0,scMAN_MV,5,150,0.1,250,summary_csv
0,0.0,0.8,0.4,scMAN_MV,5,150,0.112,250,summary_csv
0,0.0,0.2,0.0,scMAN_MV,10,50,0.032,250,summary_csv
0,0.0,0.2,0.4,scMAN_MV,10,50,0.032,250,summary_csv
0,0.0,0.5,0.0,scMAN_MV,10,50,0.036,250,summary_csv
0,0.0,0.5,0.4,scMAN_MV,10,50,0.056,250,summary_csv
0,0.0,0.8,0.0,scMAN_MV,10,50,0.072,250,summary_csv
0,0.0,0.8,0.4,scMAN_MV,10,50,0.08,250,summary_csv
0,0.0,0.2,0.0,scMAN_MV,10,100,0.068,250,summary_csv
0,0.0,0.2,0.4,scMAN_MV,10,100,0.048,250,summary_csv
0,0.0,0.5,0.0,scMAN_MV,10,100,0.032,250,summary_csv
0,0.0,0.5,0.4,scMAN_MV,10,100,0.056,250,summary_csv
0,0.0,0.8,0.0,scMAN_MV,10,100,0.112,250,summary_csv
0,0.0,0.8,0.4,scMAN_MV,10,100,0.104,250,summary_csv
0,0.0,0.2,0.0,scMAN_MV,10,150,0.016,250,summary_csv
0,0.0,0.2,0.4,scMAN_MV,10,150,0.036,250,summary_csv
0,0.0,0.5,0.0,scMAN_MV,10,150,0.044,250,summary_csv
0,0.0,0.5,0.4,scMAN_MV,10,150,0.028,250,summary_csv
0,0.0,0.8,0.0,scMAN_MV,10,150,0.12,250,summary_csv
0,0.0,0.8,0.4,scMAN_MV,10,150,0.08,250,summary_csv
1,0.0,0.2,0.0,scMAN_MV,5,50,0.988,250,summary_csv
1,0.0,0.2,0.4,scMAN_MV,5,50,0.516,250,summary_csv
1,0.0,0.5,0.0,scMAN_MV,5,50,0.788,250,summary_csv
1,0.0,0.5,0.4,scMAN_MV,5,50,0.468,250,summary_csv
1,0.0,0.8,0.0,scMAN_MV,5,50,0.204,245,summary_csv
