n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;0.04;250
10;50;0.2;0.4;0.064;250
10;50;0.5;0;0.056;250
10;50;0.5;0.4;0.064;250
10;50;0.8;0;0.712;250
10;50;0.8;0.4;0.712;250
10;100;0.2;0;0.048;250
10;100;0.2;0.4;0.06;250
10;100;0.5;0;0.076;250
10;100;0.5;0.4;0.056;250
10;100;0.8;0;0.544;250
10;100;0.8;0.4;0.544;250
10;150;0.2;0;0.056;250
10;150;0.2;0.4;0.044;250
10;150;0.5;0;0.016;250
10;150;0.5;0.4;0.032;250
10;150;0.8;0;0.388;250
10;150;0.8;0.4;0.392;250
20;50;0.2;0;0.044;250
20;50;0.2;0.4;0.044;250
20;50;0.5;0;0.3;250
20;50;0.5;0.4;0.292;250
20;50;0.8;0;1;250
20;50;0.8;0.4;1;250
20;100;0.2;0;0.052;250
20;100;0.2;0.4;0.04;250
20;100;0.5;0;0.096;250
20;100;0.5;0.4;0.088;250
20;100;0.8;0;1;250
20;100;0.8;0.4;1;250
20;150;0.2;0;0.04;250
20;150;0.2;0.4;0.052;250
20;150;0.5;0;0.064;250
20;150;0.5;0.4;0.06;250
20;150;0.8;0;1;250
20;150;0.8;0.4;1;250
