n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;0.876;250
10;50;0.2;0.4;0.384;250
10;50;0.5;0;0.212;250
10;50;0.5;0.4;0.188;250
10;50;0.8;0;0.712;250
10;50;0.8;0.4;0.712;250
10;100;0.2;0;0.984;250
10;100;0.2;0.4;0.476;250
10;100;0.5;0;0.228;250
10;100;0.5;0.4;0.204;250
10;100;0.8;0;0.54;250
10;100;0.8;0.4;0.544;250
10;150;0.2;0;1;250
10;150;0.2;0.4;0.468;250
10;150;0.5;0;0.344;250
10;150;0.5;0.4;0.264;250
10;150;0.8;0;0.412;250
10;150;0.8;0.4;0.42;250
20;50;0.2;0;0.572;250
20;50;0.2;0.4;0.348;250
20;50;0.5;0;0.308;250
20;50;0.5;0.4;0.316;250
20;50;0.8;0;1;250
20;50;0.8;0.4;1;250
20;100;0.2;0;0.836;250
20;100;0.2;0.4;0.508;250
20;100;0.5;0;0.108;250
20;100;0.5;0.4;0.108;250
20;100;0.8;0;1;250
20;100;0.8;0.4;1;250
20;150;0.2;0;0.94;250
20;150;0.2;0.4;0.644;250
20;150;0.5;0;0.108;250
20;150;0.5;0.4;0.112;250
20;150;0.8;0;1;250
20;150;0.8;0.4;1;250
