n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;0.292;250
10;50;0.2;0.4;0.22;250
10;50;0.5;0;0.292;250
10;50;0.5;0.4;0.284;250
10;100;0.2;0;0.544;250
10;100;0.2;0.4;0.284;250
10;100;0.5;0;0.34;250
10;100;0.5;0.4;0.324;250
10;150;0.2;0;0.672;250
10;150;0.2;0.4;0.32;250
10;150;0.5;0;0.4;250
10;150;0.5;0.4;0.34;250
20;50;0.2;0;0.532;250
20;50;0.2;0.4;0.468;250
20;50;0.5;0;1;250
20;50;0.5;0.4;1;250
20;100;0.2;0;0.684;250
20;100;0.2;0.4;0.608;250
20;100;0.5;0;1;250
20;100;0.5;0.4;1;250
20;150;0.2;0;0.84;250
20;150;0.2;0.4;0.744;250
20;150;0.5;0;0.988;250
20;150;0.5;0.4;0.984;250
