n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.12;250;49.4;49.4;4.43;4.48
10;50;0.2;0.4;0.096;250;49.4;49.4;4.47;4.58
10;50;0.5;0;0.124;250;28.96;28.96;4.22;4.42
10;50;0.5;0.4;0.072;250;28.96;28.96;4.3;4.57
10;50;0.8;0;0.261;119;3.05;3.05;2.79;2.81
10;50;0.8;0.4;0.252;119;3.05;3.05;2.79;2.8
10;100;0.2;0;0.104;250;98.67;98.67;4.87;4.97
10;100;0.2;0.4;0.088;250;98.67;98.67;4.99;5.2
10;100;0.5;0;0.072;250;54.83;54.83;4.88;5.34
10;100;0.5;0.4;0.088;250;54.83;54.83;5.14;5.92
10;100;0.8;0;0.24;192;4.02;4.02;2.99;3.01
10;100;0.8;0.4;0.271;192;4.02;4.02;3;3.03
10;150;0.2;0;0.056;250;147.66;147.66;5.18;5.37
10;150;0.2;0.4;0.052;250;147.66;147.66;5.47;5.95
10;150;0.5;0;0.048;250;78.09;78.09;5.54;6.27
10;150;0.5;0.4;0.06;250;78.09;78.09;5.9;7.03
10;150;0.8;0;0.218;229;5.09;5.09;3.1;3.12
10;150;0.8;0.4;0.275;229;5.09;5.09;3.12;3.15
20;50;0.2;0;0.508;250;50;50;5.04;5.04
20;50;0.2;0.4;0.404;250;50;50;5.07;5.08
20;50;0.5;0;0.348;250;42.92;42.92;5.14;5.24
20;50;0.5;0.4;0.248;250;42.92;42.92;5.32;5.56
20;50;0.8;0;0.948;233;5.12;5.12;3.83;3.84
20;50;0.8;0.4;0.948;233;5.12;5.12;3.82;3.85
20;100;0.2;0;0.556;250;100;100;5.46;5.48
20;100;0.2;0.4;0.292;250;100;100;5.49;5.52
20;100;0.5;0;0.224;250;82.16;82.16;5.76;5.99
20;100;0.5;0.4;0.116;250;82.16;82.16;6.17;6.7
20;100;0.8;0;0.936;250;8.95;8.95;4.14;4.18
20;100;0.8;0.4;0.932;250;8.95;8.95;4.17;4.23
20;150;0.2;0;0.488;250;149.99;149.99;5.72;5.74
20;150;0.2;0.4;0.112;250;149.99;149.99;5.76;5.79
20;150;0.5;0;0.104;250;118.28;118.28;6.29;6.68
20;150;0.5;0.4;0.056;250;118.28;118.28;7.07;7.89
20;150;0.8;0;0.908;250;12.22;12.22;4.33;4.37
20;150;0.8;0.4;0.892;250;12.22;12.22;4.37;4.43
