n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.024;250;49.92;49.92;4.37;4.41
10;50;0.2;0.4;0.04;250;49.92;49.92;4.4;4.45
10;50;0.5;0;0.056;250;37.03;37.03;4.36;4.58
10;50;0.5;0.4;0.052;250;37.03;37.03;4.46;4.89
10;50;0.8;0;0.024;249;8.13;8.13;3.35;3.43
10;50;0.8;0.4;0.024;249;8.13;8.13;3.37;3.47
10;100;0.2;0;0.052;250;99.83;99.83;4.79;4.84
10;100;0.2;0.4;0.044;250;99.83;99.83;4.84;4.94
10;100;0.5;0;0.036;250;69.77;69.77;4.95;5.57
10;100;0.5;0.4;0.048;250;69.77;69.77;5.26;6.16
10;100;0.8;0;0.052;250;13.6;13.6;3.66;3.86
10;100;0.8;0.4;0.052;250;13.6;13.6;3.68;3.91
10;150;0.2;0;0.052;250;149.7;149.7;5.03;5.09
10;150;0.2;0.4;0.052;250;149.7;149.7;5.13;5.31
10;150;0.5;0;0.064;250;100.81;100.81;5.49;6.41
10;150;0.5;0.4;0.044;250;100.81;100.81;6.09;7.66
10;150;0.8;0;0.048;250;19.26;19.26;3.88;4.19
10;150;0.8;0.4;0.048;250;19.26;19.26;3.89;4.26
20;50;0.2;0;0.036;250;50;50;5.01;5.01
20;50;0.2;0.4;0.032;250;50;50;5.03;5.04
20;50;0.5;0;0.048;250;47.93;47.93;5.17;5.24
20;50;0.5;0.4;0.052;250;47.93;47.93;5.28;5.4
20;50;0.8;0;0.036;250;13.16;13.16;4.36;4.45
20;50;0.8;0.4;0.036;250;13.16;13.16;4.38;4.54
20;100;0.2;0;0.036;250;100;100;5.41;5.42
20;100;0.2;0.4;0.036;250;100;100;5.43;5.44
20;100;0.5;0;0.048;250;93.49;93.49;5.76;5.91
20;100;0.5;0.4;0.056;250;93.49;93.49;6.03;6.43
20;100;0.8;0;0.036;250;21.86;21.86;4.73;4.98
20;100;0.8;0.4;0.04;250;21.86;21.86;4.83;5.17
20;150;0.2;0;0.068;250;150;150;5.65;5.66
20;150;0.2;0.4;0.06;250;150;150;5.67;5.68
20;150;0.5;0;0.044;250;137.79;137.79;6.14;6.41
20;150;0.5;0.4;0.044;250;137.79;137.79;6.73;7.46
20;150;0.8;0;0.08;250;27.46;27.46;4.91;5.2
20;150;0.8;0.4;0.064;250;27.46;27.46;5.06;5.5
