n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.284;250;49.92;49.92;4.37;4.5
10;50;0.2;0.4;0.2;250;49.92;49.92;4.4;4.6
10;50;0.5;0;0.184;250;37.03;37.03;4.36;4.98
10;50;0.5;0.4;0.22;250;37.03;37.03;4.46;5.69
10;50;0.8;0;0.052;249;8.13;8.13;3.35;3.52
10;50;0.8;0.4;0.04;249;8.13;8.13;3.37;3.65
10;100;0.2;0;0.332;250;99.83;99.83;4.79;4.97
10;100;0.2;0.4;0.288;250;99.83;99.83;4.84;5.24
10;100;0.5;0;0.396;250;69.77;69.77;4.95;6.72
10;100;0.5;0.4;0.336;250;69.77;69.77;5.26;7.99
10;100;0.8;0;0.08;250;13.6;13.6;3.66;4.08
10;100;0.8;0.4;0.072;250;13.6;13.6;3.68;4.2
10;150;0.2;0;0.456;250;149.7;149.7;5.03;5.31
10;150;0.2;0.4;0.38;250;149.7;149.7;5.13;5.97
10;150;0.5;0;0.556;250;100.81;100.81;5.49;8.03
10;150;0.5;0.4;0.36;250;100.81;100.81;6.09;9.75
10;150;0.8;0;0.08;250;19.26;19.26;3.88;4.51
10;150;0.8;0.4;0.072;250;19.26;19.26;3.89;4.61
20;50;0.2;0;0.588;250;50;50;5.01;5.06
20;50;0.2;0.4;0.3;250;50;50;5.03;5.09
20;50;0.5;0;0.512;250;47.93;47.93;5.17;5.47
20;50;0.5;0.4;0.432;250;47.93;47.93;5.28;5.87
20;50;0.8;0;0.084;250;13.16;13.16;4.36;4.61
20;50;0.8;0.4;0.1;250;13.16;13.16;4.38;4.76
20;100;0.2;0;0.668;250;100;100;5.41;5.49
20;100;0.2;0.4;0.352;250;100;100;5.43;5.51
20;100;0.5;0;0.836;250;93.49;93.49;5.76;6.54
20;100;0.5;0.4;0.592;250;93.49;93.49;6.03;7.86
20;100;0.8;0;0.072;250;21.86;21.86;4.73;5.39
20;100;0.8;0.4;0.092;250;21.86;21.86;4.83;5.71
20;150;0.2;0;0.7;250;150;150;5.65;5.74
20;150;0.2;0.4;0.456;250;150;150;5.67;5.79
20;150;0.5;0;0.916;250;137.79;137.79;6.14;7.5
20;150;0.5;0.4;0.712;250;137.79;137.79;6.73;9.86
20;150;0.8;0;0.156;250;27.46;27.46;4.91;5.7
20;150;0.8;0.4;0.176;250;27.46;27.46;5.06;6.3
