c1,c2,pmiss,rho,model,nk5_p50,nk5_p100,nk5_p150,nk10_p50,nk10_p100,nk10_p150
1,0,0.2,0.0,scMAN-exc,0.972,0.992,0.996,1.0,1.0,1.0
1,0,0.2,0.0,scMAN-ind,0.284,0.332,0.456,0.588,0.668,0.7
1,0,0.2,0.0,Chen,0.876,0.984,1.0,0.572,0.836,0.94
1,0,0.2,0.4,scMAN-exc,0.476,0.5,0.488,0.724,0.8,0.892
1,0,0.2,0.4,scMAN-ind,0.2,0.288,0.38,0.3,0.352,0.456
1,0,0.2,0.4,Chen,0.384,0.476,0.468,0.348,0.508,0.644
1,0,0.5,0.0,scMAN-exc,0.8,0.844,0.776,0.992,0.948,0.924
1,0,0.5,0.0,scMAN-ind,0.184,0.396,0.556,0.512,0.836,0.916
1,0,0.5,0.0,Chen,0.212,0.228,0.344,0.308,0.108,0.108
1,0,0.5,0.4,scMAN-exc,0.448,0.472,0.436,0.752,0.708,0.752
1,0,0.5,0.4,scMAN-ind,0.22,0.336,0.36,0.432,0.592,0.712
1,0,0.5,0.4,Chen,0.188,0.204,0.264,0.316,0.108,0.112
1,0,0.8,0.0,scMAN-exc,0.149,0.252,0.324,0.288,0.46,0.608
1,0,0.8,0.0,scMAN-ind,0.052,0.08,0.08,0.084,0.072,0.156
1,0,0.8,0.0,Chen,0.712,0.54,0.412,1.0,1.0,1.0
1,0,0.8,0.4,scMAN-exc,0.133,0.244,0.264,0.284,0.376,0.472
1,0,0.8,0.4,scMAN-ind,0.04,0.072,0.072,0.1,0.092,0.176
1,0,0.8,0.4,Chen,0.712,0.544,0.42,1.0,1.0,1.0
5,0,0.2,0.0,scMAN-exc,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.2,0.0,scMAN-ind,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.2,0.0,Chen,1.0,1.0,1.0,0.996,1.0,1.0
5,0,0.2,0.4,scMAN-exc,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.2,0.4,scMAN-ind,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.2,0.4,Chen,1.0,1.0,1.0,0.996,1.0,1.0
5,0,0.5,0.0,scMAN-exc,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.5,0.0,scMAN-ind,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.5,0.0,Chen,0.78,0.844,0.924,0.312,0.124,0.144
5,0,0.5,0.4,scMAN-exc,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.5,0.4,scMAN-ind,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.5,0.4,Chen,0.804,0.872,0.936,0.312,0.124,0.144
5,0,0.8,0.0,scMAN-exc,0.984,1.0,1.0,1.0,1.0,1.0
5,0,0.8,0.0,scMAN-ind,0.715,0.908,0.956,1.0,1.0,1.0
5,0,0.8,0.0,Chen,0.712,0.548,0.416,1.0,1.0,1.0
5,0,0.8,0.4,scMAN-exc,0.972,0.996,1.0,1.0,1.0,1.0
5,0,0.8,0.4,scMAN-ind,0.707,0.852,0.932,0.996,1.0,1.0
5,0,0.8,0.4,Chen,0.712,0.552,0.416,1.0,1.0,1.0
