c1,c2,pmiss,rho,model,nk5_p50,nk5_p100,nk5_p150,nk10_p50,nk10_p100,nk10_p150
0,0.15,0.2,0.0,scMAN-exc,0.12,0.104,0.056,0.508,0.556,0.488
0,0.15,0.2,0.0,scMAN-ind,0.28,0.504,0.576,0.712,0.936,0.976
0,0.15,0.2,0.0,Chen,0.068,0.124,0.164,0.152,0.228,0.264
0,0.15,0.2,0.4,scMAN-exc,0.096,0.088,0.052,0.404,0.292,0.112
0,0.15,0.2,0.4,scMAN-ind,0.236,0.436,0.448,0.712,0.904,0.96
0,0.15,0.2,0.4,Chen,0.072,0.104,0.08,0.128,0.168,0.2
0,0.15,0.5,0.0,scMAN-exc,0.124,0.072,0.048,0.348,0.224,0.104
0,0.15,0.5,0.0,scMAN-ind,0.212,0.392,0.344,0.584,0.748,0.716
0,0.15,0.5,0.0,Chen,0.108,0.096,0.152,0.92,0.788,0.58
0,0.15,0.5,0.4,scMAN-exc,0.072,0.088,0.06,0.248,0.116,0.056
0,0.15,0.5,0.4,scMAN-ind,0.2,0.332,0.324,0.52,0.592,0.424
0,0.15,0.5,0.4,Chen,0.12,0.1,0.116,0.916,0.776,0.588
0,0.15,0.8,0.0,scMAN-exc,0.261,0.24,0.218,0.948,0.936,0.908
0,0.15,0.8,0.0,scMAN-ind,0.529,0.865,0.961,0.974,1.0,1.0
0,0.15,0.8,0.0,Chen,0.996,0.988,0.956,1.0,1.0,1.0
0,0.15,0.8,0.4,scMAN-exc,0.252,0.271,0.275,0.948,0.932,0.892
0,0.15,0.8,0.4,scMAN-ind,0.555,0.839,0.948,0.979,1.0,1.0
0,0.15,0.8,0.4,Chen,0.996,0.988,0.96,1.0,1.0,1.0
0,0.3,0.2,0.0,scMAN-exc,0.164,0.048,0.02,0.852,0.612,0.408
0,0.3,0.2,0.0,scMAN-ind,0.92,0.98,0.94,1.0,1.0,1.0
0,0.3,0.2,0.0,Chen,0.292,0.544,0.672,0.532,0.684,0.84
0,0.3,0.2,0.4,scMAN-exc,0.104,0.092,0.056,0.708,0.248,0.088
0,0.3,0.2,0.4,scMAN-ind,0.9,0.86,0.768,1.0,1.0,1.0
0,0.3,0.2,0.4,Chen,0.22,0.284,0.32,0.468,0.608,0.744
0,0.3,0.5,0.0,scMAN-exc,0.236,0.108,0.032,0.664,0.14,0.052
0,0.3,0.5,0.0,scMAN-ind,0.956,0.98,0.972,1.0,0.992,1.0
0,0.3,0.5,0.0,Chen,0.292,0.34,0.4,1.0,1.0,0.988
0,0.3,0.5,0.4,scMAN-exc,0.192,0.16,0.08,0.536,0.148,0.032
0,0.3,0.5,0.4,scMAN-ind,0.932,0.96,0.952,0.996,0.972,0.948
0,0.3,0.5,0.4,Chen,0.284,0.324,0.34,1.0,1.0,0.984
