c1,c2,pmiss,rho,model,nk5_p50,nk5_p100,nk5_p150,nk10_p50,nk10_p100,nk10_p150
0,0,0.2,0.0,scMAN-exc,0.036,0.032,0.056,0.044,0.044,0.06
0,0,0.2,0.0,scMAN-ind,0.024,0.052,0.052,0.036,0.036,0.068
0,0,0.2,0.0,Chen,0.04,0.048,0.056,0.044,0.052,0.04
0,0,0.2,0.4,scMAN-exc,0.044,0.068,0.04,0.04,0.028,0.04
0,0,0.2,0.4,scMAN-ind,0.04,0.044,0.052,0.032,0.036,0.06
0,0,0.2,0.4,Chen,0.064,0.06,0.044,0.044,0.04,0.052
0,0,0.5,0.0,scMAN-exc,0.04,0.06,0.06,0.044,0.036,0.036
0,0,0.5,0.0,scMAN-ind,0.056,0.036,0.064,0.048,0.048,0.044
0,0,0.5,0.0,Chen,0.056,0.076,0.016,0.3,0.096,0.064
0,0,0.5,0.4,scMAN-exc,0.048,0.04,0.048,0.052,0.032,0.048
0,0,0.5,0.4,scMAN-ind,0.052,0.048,0.044,0.052,0.056,0.044
0,0,0.5,0.4,Chen,0.064,0.056,0.032,0.292,0.088,0.06
0,0,0.8,0.0,scMAN-exc,0.056,0.068,0.076,0.064,0.064,0.048
0,0,0.8,0.0,scMAN-ind,0.024,0.052,0.048,0.036,0.036,0.08
0,0,0.8,0.0,Chen,0.712,0.544,0.388,1.0,1.0,1.0
0,0,0.8,0.4,scMAN-exc,0.056,0.04,0.088,0.056,0.06,0.048
0,0,0.8,0.4,scMAN-ind,0.024,0.052,0.048,0.036,0.04,0.064
0,0,0.8,0.4,Chen,0.712,0.544,0.392,1.0,1.0,1.0
