c1,c2,pmiss,rho,model,n_per_group,p,rejection_proportion,historical_n_completed,historical_source
0,0.0,0.2,0.0,scMAN_MV,5,50,0.036,250,summary_csv
0,0.0,0.2,0.4,scMAN_MV,5,50,0.044,250,summary_csv
0,0.0,0.5,0.0,scMAN_MV,5,50,0.04,250,summary_csv
0,0.0,0.5,0.4,scMAN_MV,5,50,0.048,250,summary_csv
0,0.0,0.8,0.0,scMAN_MV,5,50,0.056,249,summary_csv
0,0.0,0.8,0.4,scMAN_MV,5,50,0.056,249,summary_csv
0,0.0,0.2,0.0,scMAN_MV,5,100,0.032,250,summary_csv
0,0.0,0.2,0.4,scMAN_MV,5,100,0.068,250,summary_csv
0,0.0,0.5,0.0,scMAN_MV,5,100,0.06,250,summary_csv
0,0.0,0.5,0.4,scMAN_MV,5,100,0.04,250,summary_csv
0,0.0,0.8,0.0,scMAN_MV,5,100,0.068,250,summary_csv
0,0.0,0.8,0.4,scMAN_MV,5,100,0.04,250,summary_csv
0,0.0,0.2,0.0,scMAN_MV,5,150,0.056,250,summary_csv
0,0.0,0.2,0.4,scMAN_MV,5,150,0.04,250,summary_csv
0,0.0,0.5,0.0,scMAN_MV,5,150,0.06,250,summary_csv
0,0.0,0.5,0.4,scMAN_MV,5,150,0.048,250,summary_csv
0,0.0,0.8,0.0,scMAN_MV,5,150,0.076,250,summary_csv
0,0.0,0.8,0.4,scMAN_MV,5,150,0.088,250,summary_csv
0,0.0,0.2,0.0,scMAN_MV,10,50,0.044,250,summary_csv
0,0.0,0.2,0.4,scMAN_MV,10,50,0.04,250,summary_csv
0,0.0,0.5,0.0,scMAN_MV,10,50,0.044,250,summary_csv
0,0.0,0.5,0.4,scMAN_MV,10,50,0.052,250,summary_csv
0,0.0,0.8,0.0,scMAN_MV,10,50,0.064,250,summary_csv
0,0.0,0.8,0.4,scMAN_MV,10,50,0.056,250,summary_csv
0,0.0,0.2,0.0,scMAN_MV,10,100,0.044,250,summary_csv
0,0.0,0.2,0.4,scMAN_MV,10,100,0.028,250,summary_csv
0,0.0,0.5,0.0,scMAN_MV,10,100,0.036,250,summary_csv
0,0.0,0.5,0.4,scMAN_MV,10,100,0.032,250,summary_csv
0,0.0,0.8,0.0,scMAN_MV,10,100,0.064,250,summary_csv
0,0.0,0.8,0.4,scMAN_MV,10,100,0.06,250,summary_csv
0,0.0,0.2,0.0,scMAN_MV,10,150,0.06,250,summary_csv
0,0.0,0.2,0.4,scMAN_MV,10,150,0.04,250,summary_csv
0,0.0,0.5,0.0,scMAN_MV,10,150,0.036,250,summary_csv
0,0.0,0.5,0.4,scMAN_MV,10,150,0.048,250,summary_csv
0,0.0,0.8,0.0,scMAN_MV,10,150,0.048,250,summary_csv
0,0.0,0.8,0.4,scMAN_MV,10,150,0.048,250,summary_csv
1,0.0,0.2,0.0,scMAN_MV,5,50,0.972,250,summary_csv
1,0.0,0.2,0.4,scMAN_MV,5,50,0.476,250,summary_csv
1,0.0,0.5,0.0,scMAN_MV,5,50,0.8,250,summary_csv
1,0.0,0.5,0.4,scMAN_MV,5,50,0.448,250,summary_csv
1,0.0,0.8,0.0,scMAN_MV,5,50,0.149,249,summary_csv
1,0.0,0.8,0.4,scMAN_MV,5,50,0.133,249,summary_csv
1,0.0,0.2,0.0,scMAN_MV,5,100,0.992,250,summary_csv
1,0.0,0.2,0.4,scMAN_MV,5,100,0.5,250,summary_csv
1,0.0,0.5,0.0,scMAN_MV,5,100,0.844,250,summary_csv
1,0.0,0.5,0.4,scMAN_MV,5,100,0.472,250,summary_csv
1,0.0,0.8,0.0,scMAN_MV,5,100,0.252,250,summary_csv
1,0.0,0.8,0.4,scMAN_MV,5,100,0.244,250,summary_csv
1,0.0,0.2,0.0,scMAN_MV,5,150,0.996,250,summary_csv
1,0.0,0.2,0.4,scMAN_MV,5,150,0.488,250,summary_csv
1,0.0,0.5,0.0,scMAN_MV,5,150,0.776,250,summary_csv
1,0.0,0.5,0.4,scMAN_MV,5,150,0.436,250,summary_csv
1,0.0,0.8,0.0,scMAN_MV,5,150,0.324,250,summary_csv
1,0.0,0.8,0.4,scMAN_MV,5,150,0.264,250,summary_csv
1,0.0,0.2,0.0,scMAN_MV,10,50,1.0,250,summary_csv
1,0.0,0.2,0.4,scMAN_MV,10,50,0.724,250,summary_csv
1,0.0,0.5,0.0,scMAN_MV,10,50,0.992,250,summary_csv
1,0.0,0.5,0.4,scMAN_MV,10,50,0.752,250,summary_csv
1,0.0,0.8,0.0,scMAN_MV,10,50,0.288,250,summary_csv
1,0.0,0.8,0.4,scMAN_MV,10,50,0.284,250,summary_csv
1,0.0,0.2,0.0,scMAN_MV,10,100,1.0,250,summary_csv
1,0.0,0.2,0.4,scMAN_MV,10,100,0.8,250,summary_csv
1,0.0,0.5,0.0,scMAN_MV,10,100,0.948,250,summary_csv
1,0.0,0.5,0.4,scMAN_MV,10,100,0.708,250,summary_csv
1,0.0,0.8,0.0,scMAN_MV,10,100,0.46,250,summary_csv
1,0.0,0.8,0.4,scMAN_MV,10,100,0.376,250,summary_csv
1,0.0,0.2,0.0,scMAN_MV,10,150,1.0,250,summary_csv
1,0.0,0.2,0.4,scMAN_MV,10,150,0.892,250,summary_csv
1,0.0,0.5,0.0,scMAN_MV,10,150,0.924,250,summary_csv
1,0.0,0.5,0.4,scMAN_MV,10,150,0.752,250,summary_csv
1,0.0,0.8,0.0,scMAN_MV,10,150,0.608,250,summary_csv
1,0.0,0.8,0.4,scMAN_MV,10,150,0.472,250,summary_csv
5,0.0,0.2,0.0,scMAN_MV,5,50,1.0,250,summary_csv
5,0.0,0.2,0.4,scMAN_MV,5,50,1.0,250,summary_csv
5,0.0,0.5,0.0,scMAN_MV,5,50,1.0,250,summary_csv
5,0.0,0.5,0.4,scMAN_MV,5,50,1.0,250,summary_csv
5,0.0,0.8,0.0,scMAN_MV,5,50,0.984,249,summary_csv
5,0.0,0.8,0.4,scMAN_MV,5,50,0.972,249,summary_csv
5,0.0,0.2,0.0,scMAN_MV,5,100,1.0,250,summary_csv
5,0.0,0.2,0.4,scMAN_MV,5,100,1.0,250,summary_csv
5,0.0,0.5,0.0,scMAN_MV,5,100,1.0,250,summary_csv
5,0.0,0.5,0.4,scMAN_MV,5,100,1.0,250,summary_csv
5,0.0,0.8,0.0,scMAN_MV,5,100,1.0,250,summary_csv
5,0.0,0.8,0.4,scMAN_MV,5,100,0.996,250,summary_csv
5,0.0,0.2,0.0,scMAN_MV,5,150,1.0,250,summary_csv
5,0.0,0.2,0.4,scMAN_MV,5,150,1.0,250,summary_csv
5,0.0,0.5,0.0,scMAN_MV,5,150,1.0,250,summary_csv
5,0.0,0.5,0.4,scMAN_MV,5,150,1.0,250,summary_csv
5,0.0,0.8,0.0,scMAN_MV,5,150,1.0,250,summary_csv
5,0.0,0.8,0.4,scMAN_MV,5,150,1.0,250,summary_csv
5,0.0,0.2,0.0,scMAN_MV,10,50,1.0,250,summary_csv
5,0.0,0.2,0.4,scMAN_MV,10,50,1.0,250,summary_csv
5,0.0,0.5,0.0,scMAN_MV,10,50,1.0,250,summary_csv
5,0.0,0.5,0.4,scMAN_MV,10,50,1.0,250,summary_csv
5,0.0,0.8,0.0,scMAN_MV,10,50,1.0,250,summary_csv
5,0.0,0.8,0.4,scMAN_MV,10,50,1.0,250,summary_csv
5,0.0,0.2,0.0,scMAN_MV,10,100,1.0,250,summary_csv
5,0.0,0.2,0.4,scMAN_MV,10,100,1.0,250,summary_csv
5,0.0,0.5,0.0,scMAN_MV,10,100,1.0,250,summary_csv
5,0.0,0.5,0.4,scMAN_MV,10,100,1.0,250,summary_csv
5,0.0,0.8,0.0,scMAN_MV,10,100,1.0,250,summary_csv
5,0.0,0.8,0.4,scMAN_MV,10,100,1.0,250,summary_csv
5,0.0,0.2,0.0,scMAN_MV,10,150,1.0,250,summary_csv
5,0.0,0.2,0.4,scMAN_MV,10,150,1.0,250,summary_csv
5,0.0,0.5,0.0,scMAN_MV,10,150,1.0,250,summary_csv
5,0.0,0.5,0.4,scMAN_MV,10,150,1.0,250,summary_csv
5,0.0,0.8,0.0,scMAN_MV,10,150,1.0,250,summary_csv
5,0.0,0.8,0.4,scMAN_MV,10,150,1.0,250,summary_csv
0,0.15,0.2,0.0,scMAN_MV,5,50,0.12,250,summary_csv
0,0.15,0.2,0.4,scMAN_MV,5,50,0.096,250,summary_csv
0,0.15,0.5,0.0,scMAN_MV,5,50,0.124,250,summary_csv
0,0.15,0.5,0.4,scMAN_MV,5,50,0.072,250,summary_csv
0,0.15,0.8,0.0,scMAN_MV,5,50,0.261,119,summary_csv
0,0.15,0.8,0.4,scMAN_MV,5,50,0.252,119,summary_csv
0,0.15,0.2,0.0,scMAN_MV,5,100,0.104,250,summary_csv
0,0.15,0.2,0.4,scMAN_MV,5,100,0.088,250,summary_csv
0,0.15,0.5,0.0,scMAN_MV,5,100,0.072,250,summary_csv
0,0.15,0.5,0.4,scMAN_MV,5,100,0.088,250,summary_csv
0,0.15,0.8,0.0,scMAN_MV,5,100,0.24,192,summary_csv
0,0.15,0.8,0.4,scMAN_MV,5,100,0.271,192,summary_csv
0,0.15,0.2,0.0,scMAN_MV,5,150,0.056,250,summary_csv
0,0.15,0.2,0.4,scMAN_MV,5,150,0.052,250,summary_csv
0,0.15,0.5,0.0,scMAN_MV,5,150,0.048,250,summary_csv
0,0.15,0.5,0.4,scMAN_MV,5,150,0.06,250,summary_csv
0,0.15,0.8,0.0,scMAN_MV,5,150,0.218,229,summary_csv
0,0.15,0.8,0.4,scMAN_MV,5,150,0.275,229,summary_csv
0,0.15,0.2,0.0,scMAN_MV,10,50,0.508,250,summary_csv
0,0.15,0.2,0.4,scMAN_MV,10,50,0.404,250,summary_csv
0,0.15,0.5,0.0,scMAN_MV,10,50,0.348,250,summary_csv
0,0.15,0.5,0.4,scMAN_MV,10,50,0.248,250,summary_csv
0,0.15,0.8,0.0,scMAN_MV,10,50,0.948,233,summary_csv
0,0.15,0.8,0.4,scMAN_MV,10,50,0.948,233,summary_csv
0,0.15,0.2,0.0,scMAN_MV,10,100,0.556,250,summary_csv
0,0.15,0.2,0.4,scMAN_MV,10,100,0.292,250,summary_csv
0,0.15,0.5,0.0,scMAN_MV,10,100,0.224,250,summary_csv
0,0.15,0.5,0.4,scMAN_MV,10,100,0.116,250,summary_csv
0,0.15,0.8,0.0,scMAN_MV,10,100,0.936,250,summary_csv
0,0.15,0.8,0.4,scMAN_MV,10,100,0.932,250,summary_csv
0,0.15,0.2,0.0,scMAN_MV,10,150,0.488,250,summary_csv
0,0.15,0.2,0.4,scMAN_MV,10,150,0.112,250,summary_csv
0,0.15,0.5,0.0,scMAN_MV,10,150,0.104,250,summary_csv
0,0.15,0.5,0.4,scMAN_MV,10,150,0.056,250,summary_csv
0,0.15,0.8,0.0,scMAN_MV,10,150,0.908,250,summary_csv
0,0.15,0.8,0.4,scMAN_MV,10,150,0.892,250,summary_csv
0,0.3,0.2,0.0,scMAN_MV,5,50,0.164,250,summary_csv
0,0.3,0.2,0.4,scMAN_MV,5,50,0.104,250,summary_csv
0,0.3,0.5,0.0,scMAN_MV,5,50,0.236,250,summary_csv
0,0.3,0.5,0.4,scMAN_MV,5,50,0.192,250,summary_csv
0,0.3,0.2,0.0,scMAN_MV,5,100,0.048,250,summary_csv
0,0.3,0.2,0.4,scMAN_MV,5,100,0.092,250,summary_csv
0,0.3,0.5,0.0,scMAN_MV,5,100,0.108,250,summary_csv
0,0.3,0.5,0.4,scMAN_MV,5,100,0.16,250,summary_csv
0,0.3,0.2,0.0,scMAN_MV,5,150,0.02,250,summary_csv
0,0.3,0.2,0.4,scMAN_MV,5,150,0.056,250,summary_csv
0,0.3,0.5,0.0,scMAN_MV,5,150,0.032,250,summary_csv
0,0.3,0.5,0.4,scMAN_MV,5,150,0.08,250,summary_csv
0,0.3,0.2,0.0,scMAN_MV,10,50,0.852,250,summary_csv
0,0.3,0.2,0.4,scMAN_MV,10,50,0.708,250,summary_csv
0,0.3,0.5,0.0,scMAN_MV,10,50,0.664,250,summary_csv
0,0.3,0.5,0.4,scMAN_MV,10,50,0.536,250,summary_csv
0,0.3,0.2,0.0,scMAN_MV,10,100,0.612,250,summary_csv
0,0.3,0.2,0.4,scMAN_MV,10,100,0.248,250,summary_csv
0,0.3,0.5,0.0,scMAN_MV,10,100,0.14,250,summary_csv
0,0.3,0.5,0.4,scMAN_MV,10,100,0.148,250,summary_csv
0,0.3,0.2,0.0,scMAN_MV,10,150,0.408,250,summary_csv
0,0.3,0.2,0.4,scMAN_MV,10,150,0.088,250,summary_csv
0,0.3,0.5,0.0,scMAN_MV,10,150,0.052,250,summary_csv
0,0.3,0.5,0.4,scMAN_MV,10,150,0.032,250,summary_csv
0,0.0,0.2,0.0,scMAN_Bernoulli,5,50,0.024,250,summary_csv
0,0.0,0.2,0.4,scMAN_Bernoulli,5,50,0.04,250,summary_csv
0,0.0,0.5,0.0,scMAN_Bernoulli,5,50,0.056,250,summary_csv
0,0.0,0.5,0.4,scMAN_Bernoulli,5,50,0.052,250,summary_csv
0,0.0,0.8,0.0,scMAN_Bernoulli,5,50,0.024,249,summary_csv
0,0.0,0.8,0.4,scMAN_Bernoulli,5,50,0.024,249,summary_csv
0,0.0,0.2,0.0,scMAN_Bernoulli,5,100,0.052,250,summary_csv
0,0.0,0.2,0.4,scMAN_Bernoulli,5,100,0.044,250,summary_csv
0,0.0,0.5,0.0,scMAN_Bernoulli,5,100,0.036,250,summary_csv
0,0.0,0.5,0.4,scMAN_Bernoulli,5,100,0.048,250,summary_csv
0,0.0,0.8,0.0,scMAN_Bernoulli,5,100,0.052,250,summary_csv
0,0.0,0.8,0.4,scMAN_Bernoulli,5,100,0.052,250,summary_csv
0,0.0,0.2,0.0,scMAN_Bernoulli,5,150,0.052,250,summary_csv
0,0.0,0.2,0.4,scMAN_Bernoulli,5,150,0.052,250,summary_csv
0,0.0,0.5,0.0,scMAN_Bernoulli,5,150,0.064,250,summary_csv
0,0.0,0.5,0.4,scMAN_Bernoulli,5,150,0.044,250,summary_csv
0,0.0,0.8,0.0,scMAN_Bernoulli,5,150,0.048,250,summary_csv
0,0.0,0.8,0.4,scMAN_Bernoulli,5,150,0.048,250,summary_csv
0,0.0,0.2,0.0,scMAN_Bernoulli,10,50,0.036,250,summary_csv
0,0.0,0.2,0.4,scMAN_Bernoulli,10,50,0.032,250,summary_csv
0,0.0,0.5,0.0,scMAN_Bernoulli,10,50,0.048,250,summary_csv
0,0.0,0.5,0.4,scMAN_Bernoulli,10,50,0.052,250,summary_csv
0,0.0,0.8,0.0,scMAN_Bernoulli,10,50,0.036,250,summary_csv
0,0.0,0.8,0.4,scMAN_Bernoulli,10,50,0.036,250,summary_csv
0,0.0,0.2,0.0,scMAN_Bernoulli,10,100,0.036,250,summary_csv
0,0.0,0.2,0.4,scMAN_Bernoulli,10,100,0.036,250,summary_csv
0,0.0,0.5,0.0,scMAN_Bernoulli,10,100,0.048,250,summary_csv
0,0.0,0.5,0.4,scMAN_Bernoulli,10,100,0.056,250,summary_csv
0,0.0,0.8,0.0,scMAN_Bernoulli,10,100,0.036,250,summary_csv
0,0.0,0.8,0.4,scMAN_Bernoulli,10,100,0.04,250,summary_csv
0,0.0,0.2,0.0,scMAN_Bernoulli,10,150,0.068,250,summary_csv
0,0.0,0.2,0.4,scMAN_Bernoulli,10,150,0.06,250,summary_csv
0,0.0,0.5,0.0,scMAN_Bernoulli,10,150,0.044,250,summary_csv
0,0.0,0.5,0.4,scMAN_Bernoulli,10,150,0.044,250,summary_csv
0,0.0,0.8,0.0,scMAN_Bernoulli,10,150,0.08,250,summary_csv
0,0.0,0.8,0.4,scMAN_Bernoulli,10,150,0.064,250,summary_csv
1,0.0,0.2,0.0,scMAN_Bernoulli,5,50,0.284,250,summary_csv
1,0.0,0.2,0.4,scMAN_Bernoulli,5,50,0.2,250,summary_csv
1,0.0,0.5,0.0,scMAN_Bernoulli,5,50,0.184,250,summary_csv
1,0.0,0.5,0.4,scMAN_Bernoulli,5,50,0.22,250,summary_csv
1,0.0,0.8,0.0,scMAN_Bernoulli,5,50,0.052,249,summary_csv
1,0.0,0.8,0.4,scMAN_Bernoulli,5,50,0.04,249,summary_csv
1,0.0,0.2,0.0,scMAN_Bernoulli,5,100,0.332,250,summary_csv
1,0.0,0.2,0.4,scMAN_Bernoulli,5,100,0.288,250,summary_csv
1,0.0,0.5,0.0,scMAN_Bernoulli,5,100,0.396,250,summary_csv
1,0.0,0.5,0.4,scMAN_Bernoulli,5,100,0.336,250,summary_csv
1,0.0,0.8,0.0,scMAN_Bernoulli,5,100,0.08,250,summary_csv
1,0.0,0.8,0.4,scMAN_Bernoulli,5,100,0.072,250,summary_csv
1,0.0,0.2,0.0,scMAN_Bernoulli,5,150,0.456,250,summary_csv
1,0.0,0.2,0.4,scMAN_Bernoulli,5,150,0.38,250,summary_csv
1,0.0,0.5,0.0,scMAN_Bernoulli,5,150,0.556,250,summary_csv
1,0.0,0.5,0.4,scMAN_Bernoulli,5,150,0.36,250,summary_csv
1,0.0,0.8,0.0,scMAN_Bernoulli,5,150,0.08,250,summary_csv
1,0.0,0.8,0.4,scMAN_Bernoulli,5,150,0.072,250,summary_csv
1,0.0,0.2,0.0,scMAN_Bernoulli,10,50,0.588,250,summary_csv
1,0.0,0.2,0.4,scMAN_Bernoulli,10,50,0.3,250,summary_csv
1,0.0,0.5,0.0,scMAN_Bernoulli,10,50,0.512,250,summary_csv
1,0.0,0.5,0.4,scMAN_Bernoulli,10,50,0.432,250,summary_csv
1,0.0,0.8,0.0,scMAN_Bernoulli,10,50,0.084,250,summary_csv
1,0.0,0.8,0.4,scMAN_Bernoulli,10,50,0.1,250,summary_csv
1,0.0,0.2,0.0,scMAN_Bernoulli,10,100,0.668,250,summary_csv
1,0.0,0.2,0.4,scMAN_Bernoulli,10,100,0.352,250,summary_csv
1,0.0,0.5,0.0,scMAN_Bernoulli,10,100,0.836,250,summary_csv
1,0.0,0.5,0.4,scMAN_Bernoulli,10,100,0.592,250,summary_csv
1,0.0,0.8,0.0,scMAN_Bernoulli,10,100,0.072,250,summary_csv
1,0.0,0.8,0.4,scMAN_Bernoulli,10,100,0.092,250,summary_csv
1,0.0,0.2,0.0,scMAN_Bernoulli,10,150,0.7,250,summary_csv
1,0.0,0.2,0.4,scMAN_Bernoulli,10,150,0.456,250,summary_csv
1,0.0,0.5,0.0,scMAN_Bernoulli,10,150,0.916,250,summary_csv
1,0.0,0.5,0.4,scMAN_Bernoulli,10,150,0.712,250,summary_csv
1,0.0,0.8,0.0,scMAN_Bernoulli,10,150,0.156,250,summary_csv
1,0.0,0.8,0.4,scMAN_Bernoulli,10,150,0.176,250,summary_csv
5,0.0,0.2,0.0,scMAN_Bernoulli,5,50,1.0,250,summary_csv
5,0.0,0.2,0.4,scMAN_Bernoulli,5,50,1.0,250,summary_csv
5,0.0,0.5,0.0,scMAN_Bernoulli,5,50,1.0,250,summary_csv
5,0.0,0.5,0.4,scMAN_Bernoulli,5,50,1.0,250,summary_csv
5,0.0,0.8,0.0,scMAN_Bernoulli,5,50,0.715,249,summary_csv
5,0.0,0.8,0.4,scMAN_Bernoulli,5,50,0.707,249,summary_csv
5,0.0,0.2,0.0,scMAN_Bernoulli,5,100,1.0,250,summary_csv
5,0.0,0.2,0.4,scMAN_Bernoulli,5,100,1.0,250,summary_csv
5,0.0,0.5,0.0,scMAN_Bernoulli,5,100,1.0,250,summary_csv
5,0.0,0.5,0.4,scMAN_Bernoulli,5,100,1.0,250,summary_csv
5,0.0,0.8,0.0,scMAN_Bernoulli,5,100,0.908,250,summary_csv
5,0.0,0.8,0.4,scMAN_Bernoulli,5,100,0.852,250,summary_csv
5,0.0,0.2,0.0,scMAN_Bernoulli,5,150,1.0,250,summary_csv
5,0.0,0.2,0.4,scMAN_Bernoulli,5,150,1.0,250,summary_csv
5,0.0,0.5,0.0,scMAN_Bernoulli,5,150,1.0,250,summary_csv
5,0.0,0.5,0.4,scMAN_Bernoulli,5,150,1.0,250,summary_csv
5,0.0,0.8,0.0,scMAN_Bernoulli,5,150,0.956,250,summary_csv
5,0.0,0.8,0.4,scMAN_Bernoulli,5,150,0.932,250,summary_csv
5,0.0,0.2,0.0,scMAN_Bernoulli,10,50,1.0,250,summary_csv
5,0.0,0.2,0.4,scMAN_Bernoulli,10,50,1.0,250,summary_csv
5,0.0,0.5,0.0,scMAN_Bernoulli,10,50,1.0,250,summary_csv
5,0.0,0.5,0.4,scMAN_Bernoulli,10,50,1.0,250,summary_csv
5,0.0,0.8,0.0,scMAN_Bernoulli,10,50,1.0,250,summary_csv
5,0.0,0.8,0.4,scMAN_Bernoulli,10,50,0.996,250,summary_csv
5,0.0,0.2,0.0,scMAN_Bernoulli,10,100,1.0,250,summary_csv
5,0.0,0.2,0.4,scMAN_Bernoulli,10,100,1.0,250,summary_csv
5,0.0,0.5,0.0,scMAN_Bernoulli,10,100,1.0,250,summary_csv
5,0.0,0.5,0.4,scMAN_Bernoulli,10,100,1.0,250,summary_csv
5,0.0,0.8,0.0,scMAN_Bernoulli,10,100,1.0,250,summary_csv
5,0.0,0.8,0.4,scMAN_Bernoulli,10,100,1.0,250,summary_csv
5,0.0,0.2,0.0,scMAN_Bernoulli,10,150,1.0,250,summary_csv
5,0.0,0.2,0.4,scMAN_Bernoulli,10,150,1.0,250,raw_txt_fallback
5,0.0,0.5,0.0,scMAN_Bernoulli,10,150,1.0,250,summary_csv
5,0.0,0.5,0.4,scMAN_Bernoulli,10,150,1.0,250,summary_csv
5,0.0,0.8,0.0,scMAN_Bernoulli,10,150,1.0,250,summary_csv
5,0.0,0.8,0.4,scMAN_Bernoulli,10,150,1.0,250,summary_csv
0,0.15,0.2,0.0,scMAN_Bernoulli,5,50,0.28,250,summary_csv
0,0.15,0.2,0.4,scMAN_Bernoulli,5,50,0.236,250,summary_csv
0,0.15,0.5,0.0,scMAN_Bernoulli,5,50,0.212,250,summary_csv
0,0.15,0.5,0.4,scMAN_Bernoulli,5,50,0.2,250,summary_csv
0,0.15,0.8,0.0,scMAN_Bernoulli,5,50,0.529,119,summary_csv
0,0.15,0.8,0.4,scMAN_Bernoulli,5,50,0.555,119,summary_csv
0,0.15,0.2,0.0,scMAN_Bernoulli,5,100,0.504,250,summary_csv
0,0.15,0.2,0.4,scMAN_Bernoulli,5,100,0.436,250,summary_csv
0,0.15,0.5,0.0,scMAN_Bernoulli,5,100,0.392,250,summary_csv
0,0.15,0.5,0.4,scMAN_Bernoulli,5,100,0.332,250,summary_csv
0,0.15,0.8,0.0,scMAN_Bernoulli,5,100,0.865,192,summary_csv
